ID,post_author,post_date,post_date_gmt,post_content,post_title,post_excerpt,post_status,comment_status,ping_status,post_password,post_name,to_ping,pinged,post_modified,post_modified_gmt,post_content_filtered,post_parent,guid,menu_order,post_type,post_mime_type,comment_count,product_type,backorders,featured,length,manage_stock,price,product_url,purchase_note,regular_price,sale_price,shipping_class,sku,sold_individually,stock,stock_status,tax_class,tax_status,total_sales,virtual,visibility,weight,height,width,default_attributes,variation_description,crosssell_ids,downloadable,download_expiry,download_limit,edit_last,edit_lock,product_image_gallery,product_version,sale_price_dates_from,sale_price_dates_to,thumbnail_id,upsell_ids,wc_average_rating,wc_rating_count,wc_review_count,wp_desired_post_slug,wp_trash_meta_status,wp_trash_meta_time,attributes,variations,categories,tags,product_gallery,product_gallery_name,featured_image,featured_image_name
41,1,"2017-04-26 22:27:00","2017-04-26 19:27:00","<pre>Совсем недавно я была просто детским стоматологом и на вопрос: 
«Какая соска подойдет моему ребенку?» отвечала так, как учили в 
институте, больше останавливаясь на последствиях, которые влечет за 
собой длительное использование этого «аксессуара». Все изменилось, когда
 я сама стала мамой.
 Казалось бы, что может быть проще покупки 
соски? Заходишь в магазин, выбираешь ту, что поярче и по цене подходит, и
 все! Ребенок с пустышкой, родители счастливы.  С этими мыслями я 
отправилась в магазин. Вот тут-то все и началось…Встала возле витрины и 
начала судорожно вспоминать все, что только знала о сосках. В 
конце-концов, выбор был сделан.</pre>","Соска детская","Совсем недавно я была просто детским стоматологом и на вопрос: 
«Какая соска подойдет моему ребенку?» отвечала так, как учили в 
институте, больше останавливаясь на последствиях, которые влечет за 
собой длительное использование этого «аксессуара». Все изменилось, когда
 я сама стала мамой.",trash,open,closed,,soska-detskaya__trashed,,,"2017-04-28 13:57:58","2017-04-28 10:57:58",,0,http://karkysha.com/?post_type=product&#038;p=41,0,product,,0,simple,no,,,no,35,,,35,,,,no,,instock,,taxable,0,no,,,,,a:0:{},,a:0:{},no,-1,-1,1,1493284736:1,,3.0.4,,,,a:0:{},0,a:0:{},0,soska-detskaya,publish,1493377078,,,Игрушки->Мягкие,,,,,
77,1,"2017-04-27 12:23:19","2017-04-27 09:23:19","Коляска трансформерКоляска трансформерКоляска трансформерКоляска трансформерКоляска трансформерКоляска трансформерКоляска трансформерКоляска трансформерКоляска трансформерКоляска трансформерКоляска трансформерКоляска трансформерКоляска трансформерКоляска трансформерКоляска трансформерКоляска трансформерКоляска трансформерКоляска трансформерКоляска трансформерКоляска трансформерКоляска трансформерКоляска трансформерКоляска трансформерКоляска трансформерКоляска трансформерКоляска трансформерКоляска трансформерКоляска трансформерКоляска трансформерКоляска трансформер","Коляска трансформер","Коляска трансформерКоляска трансформерКоляска трансформерКоляска трансформер",trash,open,closed,,kolyaska-transformer__trashed,,,"2017-04-28 13:57:58","2017-04-28 10:57:58",,0,http://karkysha.com/?post_type=product&#038;p=77,0,product,,0,simple,no,,,no,2356,,,2356,,,,no,,instock,,taxable,0,no,,,,,a:0:{},,a:0:{},no,-1,-1,1,1493285541:1,78,3.0.4,,,,a:0:{},0,a:0:{},0,kolyaska-transformer,publish,1493377078,,,Игрушки->Мягкие,,,,,
79,1,"2017-04-27 12:25:25","2017-04-27 09:25:25","Мыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детское
Мыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детское","Мыло детское","Мыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детское",trash,open,closed,,mylo-detskoe__trashed,,,"2017-04-28 13:57:57","2017-04-28 10:57:57",,0,http://karkysha.com/?post_type=product&#038;p=79,0,product,,0,simple,no,,,no,23.5,,,23.5,,,,no,,instock,,taxable,0,no,,,,,a:0:{},,a:0:{},no,-1,-1,1,1493285000:1,,3.0.4,,,,a:0:{},0,a:0:{},0,mylo-detskoe,publish,1493377077,,,Игрушки->Мягкие,,,,,
81,1,"2017-04-27 12:26:48","2017-04-27 09:26:48","Мыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детское",Кровать,"Мыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоем",trash,open,closed,,krovat__trashed,,,"2017-04-28 13:57:57","2017-04-28 10:57:57",,0,http://karkysha.com/?post_type=product&#038;p=81,0,product,,0,simple,no,,,no,2347,,,2347,,,,no,,instock,,taxable,0,no,,,,,a:0:{},,a:0:{},no,-1,-1,1,1493285083:1,,3.0.4,,,,a:0:{},0,a:0:{},0,krovat,publish,1493377077,,,Игрушки->Мягкие,,,,,
83,1,"2017-04-27 12:28:08","2017-04-27 09:28:08","Мыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоем",Памперсы,"Мыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детское",trash,open,closed,,pampersy__trashed,,,"2017-04-28 13:57:56","2017-04-28 10:57:56",,0,http://karkysha.com/?post_type=product&#038;p=83,0,product,,0,simple,no,,,no,239,,,239,,,,no,,instock,,taxable,0,no,,,,,a:0:{},,a:0:{},no,-1,-1,1,1493285426:1,84,3.0.4,,,,a:0:{},0,a:0:{},0,pampersy,publish,1493377076,,,Игрушки->Мягкие,,,,,
85,1,"2017-04-27 12:29:32","2017-04-27 09:29:32","Мыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоем","Обувь для мальчика","Мыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоеМыло детскоем",trash,open,closed,,obuv-dlya-malchika__trashed,,,"2017-04-28 13:57:56","2017-04-28 10:57:56",,0,http://karkysha.com/?post_type=product&#038;p=85,0,product,,0,simple,no,,,no,400,,,400,,,,no,,instock,,taxable,0,no,,,,,a:0:{},,a:0:{},no,-1,-1,1,1493368352:1,86,3.0.4,,,,a:0:{},0,a:0:{},0,obuv-dlya-malchika,publish,1493377076,,,Игрушки->Мягкие,,,,,
90,1,"2017-04-28 11:44:39","2017-04-28 08:44:39","Мыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товараМыло второе очень длинное название товарам","Мыло второе очень длинное название товара",,trash,open,closed,,mylo-vtoroe-ochen-dlinnoe-nazvanie-tovara__trashed,,,"2017-04-28 13:57:55","2017-04-28 10:57:55",,0,http://karkysha.com/?post_type=product&#038;p=90,0,product,,0,simple,no,,,no,122,,,122,,,90,no,,instock,,taxable,0,no,,,,,a:0:{},,a:0:{},no,-1,-1,1,1493373430:1,,3.0.4,,,,a:0:{},0,a:0:{},0,mylo-vtoroe-ochen-dlinnoe-nazvanie-tovara,publish,1493377075,,,Игрушки->Мягкие,,,,,
92,1,"2017-04-28 13:59:26","0000-00-00 00:00:00",,AUTO-DRAFT,,auto-draft,open,closed,,,,,"2017-04-28 13:59:26","0000-00-00 00:00:00",,0,http://karkysha.com/?post_type=product&p=92,0,product,,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,a:0:{},0,,,,,,,,,,,
93,1,"2017-04-28 14:01:54","0000-00-00 00:00:00",,AUTO-DRAFT,,auto-draft,open,closed,,,,,"2017-04-28 14:01:54","0000-00-00 00:00:00",,0,http://karkysha.com/?post_type=product&p=93,0,product,,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,a:0:{},0,,,,,,,,,,,
94,1,"2017-04-28 14:34:16","0000-00-00 00:00:00",,AUTO-DRAFT,,auto-draft,open,closed,,,,,"2017-04-28 14:34:16","0000-00-00 00:00:00",,0,http://karkysha.com/?post_type=product&p=94,0,product,,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,a:0:{},0,,,,,,,,,,,
95,1,"2017-04-28 14:40:55","2017-04-28 11:40:55","На відміну від поширеної думки <strong>Lorem Ipsum</strong> не є випадковим набором літер. Він походить з уривку класичної латинської літератури 45 року до н.е., тобто має більш як 2000-річну історію. Річард Макклінток, професор латини з коледжу Хемпдін-Сидні, що у Вірджінії, вивчав одне з найменш зрозумілих латинських слів - consectetur - з уривку Lorem Ipsum, і у пошуку цього слова в класичній літературі знайшов безсумнівне джерело. Lorem Ipsum походить з розділів 1.10.32 та 1.10.33 цицеронівського ""de Finibus Bonorum et Malorum"" (""Про межі добра і зла""), написаного у 45 році до н.е. Цей трактат з теорії етики був дуже популярним в епоху Відродження. Перший рядок Lorem Ipsum, ""Lorem ipsum dolor sit amet..."" походить з одного з рядків розділу 1.10.32.","Коляска синяя","На відміну від поширеної думки <strong>Lorem Ipsum</strong> не є випадковим набором літер. Він походить з уривку класичної латинської літератури 45 року до н.е., тобто",publish,open,closed,,kolyaska-sinyaya,,,"2017-04-28 14:40:56","2017-04-28 11:40:56",,0,http://karkysha.com/?post_type=product&#038;p=95,0,product,,0,simple,no,,,no,2500,,,2500,,,95,no,,instock,,taxable,0,no,,,,,a:0:{},,a:0:{},no,-1,-1,1,1493379535:1,,3.0.4,,,96,a:0:{},0,a:0:{},0,,,,,,Игрушки->Мягкие,,,,http://karkysha.com/wp-content/uploads/2017/04/kolyaska.jpg,kolyaska.jpg
